playoff,year,tmID,lost,o_reb,home_win_pct,away_win_pct,conf_win_rate,scoring_efficiency,reb_efficiency,defensive_pts_efficiency,def_reb_efficiency,off_reb_efficiency,ast_to_ratio,steals_per_game,blocks_per_game,playoff_win_pct
N,6,MIN,20,1025,0.6470588235294118,0.1764705882352941,0.4090909090909091,1.1361767728674204,0.5267214799588901,67.29411764705883,0.5225359088657752,0.5267214799588901,0.9906716417910448,7.588235294117647,3.735294117647059,0.3333333333333333
N,7,MIN,24,1144,0.4705882352941176,0.1176470588235294,0.3,1.141112618724559,0.5174129353233831,80.44117647058823,0.5203111495246326,0.5174129353233831,0.9264150943396228,5.676470588235294,3.323529411764706,0.6
N,8,MIN,24,1182,0.4117647058823529,0.1764705882352941,0.3636363636363636,1.11932059447983,0.5019108280254777,80.94117647058823,0.5093394077448747,0.5019108280254777,1.0623885918003566,7.0,2.794117647058824,0.0
N,9,MIN,18,1145,0.5294117647058824,0.4117647058823529,0.4,1.2014763352149371,0.4971775944420321,80.02941176470588,0.5459459459459459,0.4971775944420321,1.180084745762712,9.088235294117649,3.852941176470588,0.6
N,10,MIN,20,1087,0.5294117647058824,0.2941176470588235,0.35,1.2100132919805051,0.4816127603012849,83.1470588235294,0.5154867256637168,0.4816127603012849,0.9922027290448344,8.852941176470589,3.764705882352941,0.3333333333333333
Y,1,NYL,12,940,0.75,0.5,0.6666666666666666,1.1834710743801653,0.5179063360881543,63.59375,0.530735455543359,0.5179063360881543,1.0063291139240509,7.6875,3.1875,0.6363636363636364
Y,2,NYL,11,915,0.8125,0.5,0.6190476190476191,1.1827133479212253,0.50054704595186,65.0625,0.5588402501421262,0.50054704595186,1.265446224256293,8.28125,2.5625,0.3333333333333333
Y,3,NYL,14,870,0.625,0.5,0.5238095238095238,1.200574712643678,0.5,62.96875,0.5545297172533179,0.5,1.0829694323144106,8.15625,3.125,0.5
N,4,NYL,18,957,0.6470588235294118,0.2941176470588235,0.4583333333333333,1.1664066562662507,0.4976599063962558,66.3529411764706,0.5421133231240429,0.4976599063962558,1.1212765957446809,7.705882352941177,3.764705882352941,0.0
Y,5,NYL,16,1004,0.6470588235294118,0.4117647058823529,0.5,1.165631469979296,0.5196687370600414,67.55882352941177,0.5252862595419847,0.5196687370600414,1.065217391304348,6.147058823529412,3.647058823529412,0.0
Y,6,NYL,16,974,0.5882352941176471,0.4705882352941176,0.45,1.2451612903225806,0.5236559139784946,67.20588235294117,0.5119284294234593,0.5236559139784946,1.077922077922078,6.294117647058823,3.294117647058824,0.0
N,7,NYL,23,1021,0.4117647058823529,0.2352941176470588,0.35,1.1464475592073466,0.4934751087481875,78.11764705882354,0.5448211797491872,0.4934751087481875,0.8246527777777778,7.411764705882353,3.294117647058824,0.0
Y,8,NYL,18,1075,0.5882352941176471,0.3529411764705882,0.5,1.156205079060853,0.515093435553426,73.55882352941177,0.5465587044534413,0.515093435553426,0.8169934640522876,8.5,3.2058823529411766,0.0
Y,9,NYL,15,1105,0.6470588235294118,0.4705882352941176,0.55,1.186808118081181,0.5096863468634686,74.6470588235294,0.5432269995376792,0.5096863468634686,1.0073126142595978,8.529411764705882,3.4411764705882355,0.0
N,10,NYL,21,1082,0.4705882352941176,0.2941176470588235,0.4090909090909091,1.1586715867158672,0.4990774907749077,74.55882352941177,0.5572554473806213,0.4990774907749077,0.9686924493554327,8.117647058823529,3.5588235294117645,0.0
Y,1,ORL,16,925,0.6875,0.3125,0.6190476190476191,1.1554160125588695,0.4840397697540555,69.78125,0.5178207739307535,0.4840397697540555,0.9732510288065844,7.96875,4.0625,0.0
N,2,ORL,19,970,0.625,0.1875,0.4285714285714285,1.118077324973877,0.5067920585161965,68.90625,0.5324959038776624,0.5067920585161965,0.849624060150376,10.0,3.90625,0.0
N,3,ORL,16,915,0.625,0.375,0.6190476190476191,1.1776384535005224,0.4780564263322884,70.46875,0.5617615467239527,0.4780564263322884,0.9780701754385964,9.21875,3.53125,0.0
Y,1,PHO,12,894,0.6875,0.5625,0.5238095238095238,1.2461111111111112,0.4966666666666666,65.6875,0.5300875273522976,0.4966666666666666,1.083916083916084,8.90625,2.84375,0.0
N,2,PHO,19,942,0.625,0.1875,0.3809523809523809,1.0897571277719114,0.4973600844772967,67.78125,0.5449260042283298,0.4973600844772967,0.9903660886319846,9.125,4.3125,0.0
N,3,PHO,21,918,0.625,0.0625,0.3333333333333333,1.1069348861831656,0.4859714134462679,71.59375,0.5352941176470588,0.4859714134462679,0.8522954091816367,8.34375,2.9375,0.0
N,4,PHO,26,1000,0.3529411764705882,0.1176470588235294,0.2083333333333333,1.0009546539379477,0.477326968973747,66.76470588235294,0.5966791644349223,0.477326968973747,0.9624217118997912,9.117647058823527,3.264705882352941,0.0
N,5,PHO,17,916,0.5882352941176471,0.4117647058823529,0.5,1.1966701352757545,0.4765868886576482,65.73529411764706,0.5528455284552846,0.4765868886576482,1.0797413793103448,8.294117647058824,4.029411764705882,0.0
N,6,PHO,18,1062,0.6470588235294118,0.2941176470588235,0.5454545454545454,1.1840521564694082,0.5325977933801405,69.23529411764706,0.5137982940291018,0.5325977933801405,1.0618955512572534,7.147058823529412,5.264705882352941,0.0
N,7,PHO,16,1145,0.5882352941176471,0.4705882352941176,0.4,1.2161051766639277,0.4704190632703369,84.67647058823529,0.5436440677966101,0.4704190632703369,1.4479638009049771,8.088235294117647,3.735294117647059,0.0
Y,8,PHO,11,1152,0.7058823529411765,0.6470588235294118,0.7727272727272727,1.25051674245556,0.4762298470442331,85.41176470588235,0.55027711797308,0.4762298470442331,1.4053497942386832,8.382352941176471,4.676470588235294,0.0
N,9,PHO,18,1226,0.5882352941176471,0.3529411764705882,0.4,1.2112676056338028,0.4933601609657947,88.5,0.5276422764227642,0.4933601609657947,1.1451942740286298,6.823529411764706,4.588235294117647,0.0
Y,10,PHO,11,1190,0.7058823529411765,0.6470588235294118,0.65,1.2860635696821516,0.4849225753871231,89.1470588235294,0.4976762199845081,0.4849225753871231,1.25,6.617647058823529,5.323529411764706,0.0
N,1,POR,22,936,0.375,0.25,0.1904761904761904,1.1788840262582057,0.5120350109409191,71.96875,0.5159718462371413,0.5120350109409191,0.8094435075885329,8.28125,2.90625,0.0
