playerID,year,tmID,fgRate,ftRate,threeRate
abrossv01w,2,MIN,0.3890784982935154,0.7272727272727273,0.25
abrossv01w,3,MIN,0.37658227848101267,0.4827586206896552,0.3333333333333333
abrossv01w,4,MIN,0.3929824561403509,0.7040816326530612,0.3048780487804878
abrossv01w,5,MIN,0.35251798561151076,0.6086956521739131,0.37735849056603776
abrossv01w,6,MIN,0.39492753623188404,0.726027397260274,0.4024390243902439
abrossv01w,7,MIN,0.4107883817427386,0.6612903225806451,0.36923076923076925
abrossv01w,8,MIN,0.4429530201342282,0.8372093023255814,0.44554455445544555
abrossv01w,9,CON,0.3055555555555556,0.8333333333333334,0.16666666666666666
adamsjo01w,4,MIN,0.3939393939393939,1.0,0.4166666666666667
aguilel01w,3,UTA,0.42424242424242425,0.5714285714285714,0.5238095238095238
ajavoma01w,9,HOU,0.33098591549295775,0.7912087912087912,0.19117647058823528
ajavoma01w,10,WAS,0.3359683794466403,0.6727272727272727,0.34146341463414637
aldrima01w,1,WAS,0.46296296296296297,0.3181818181818182,0.5
aldrima01w,2,WAS,0.3333333333333333,1.0,0.0
alhalta01w,2,ORL,0.3275862068965517,0.5,0.36363636363636365
allench01w,9,SAC,0.4375,,0.3333333333333333
amachma01w,2,NYL,,0.5,
amachma01w,4,SEA,0.3,0.5,
amachma01w,6,WAS,0.0,1.0,
ambermo01w,3,SAC,,,
anderam01w,7,CON,,,
anderam01w,7,NYL,0.0,,
anderch01w,4,SAC,0.4318181818181818,0.3333333333333333,
anderch01w,5,SAC,0.390625,0.7297297297297297,
anderch01w,6,SAS,0.46629213483146065,0.8043478260869565,
anderch01w,7,SAS,0.5267857142857143,0.7777777777777778,
anderch01w,8,SAS,0.5,0.6666666666666666,
anderjo01w,9,CON,0.2777777777777778,0.7333333333333333,0.2318840579710145
anderke01w,1,WAS,0.4264705882352941,0.7777777777777778,0.375
anderke01w,2,CHA,0.125,0.8,0.0
anderke01w,3,CHA,0.25,,0.25
andrame01w,1,CLE,0.4564102564102564,0.75,0.36
andrame01w,2,CLE,0.3391812865497076,0.6666666666666666,0.2
andrame01w,3,CLE,0.3063063063063063,0.782608695652174,0.19230769230769232
andrame01w,5,CHA,0.42857142857142855,1.0,0.0
anosini01w,9,MIN,0.43805309734513276,0.6987951807228916,0.0
anosini01w,10,MIN,0.49056603773584906,0.6958762886597938,0.25
arcaija01w,1,HOU,0.4678111587982833,0.8367346938775511,0.2
arcaija01w,2,HOU,0.4263261296660118,0.9,0.3333333333333333
arcaija01w,3,HOU,0.423841059602649,0.8828828828828829,0.2702702702702703
arcaija01w,4,HOU,0.4660493827160494,0.8404255319148937,0.24324324324324326
